Plass,BIB,Navn,Land,Klubb,Preikestolhytta,Sognesand,Mål,BAK
1,232,Henning Tjøstheim,,Ryfylke Trelast,01:15:39,03:07:30,05:51:21,+00:00:00
2,310,Halvard Risøy Solheim,,Dirdal IL/Gjesdal IL/Slåtteveien Lauperlag,01:13:21,03:05:35,06:04:21,+00:13:00
3,287,Fredrik Askeland,,,01:17:29,03:14:19,06:27:42,+00:36:21
4,30,Sverre Soleng,,Stayer løpeklubb/Equinor BIL,01:24:32,03:32:38,06:39:30,+00:48:09
5,471,Asgeir Jensen,,Birkenes IL,01:24:40,03:23:04,06:40:20,+00:48:59
6,326,Carlo Brekken,,,,03:32:15,06:43:00,+00:51:39
7,246,Jack Snell,,,,03:33:34,06:54:51,+01:03:30
8,44,Lars Lunde,,Suldal IL,01:24:45,03:31:21,07:03:08,+01:11:47
9,206,Hans olav ystheim Undseth,,Løplabbet Sandnes,,03:32:31,07:03:10,+01:11:49
10,469,Rasmus Helgøy Vetrhus,,Spirit Friidrettsklubb/Avd. Ryfylke,01:21:25,03:26:50,07:03:20,+01:11:59
11,425,Erling Asserson,,,01:27:48,03:44:45,07:04:30,+01:13:09
12,460,Jonas Espedal,,,01:25:07,03:30:14,07:09:41,+01:18:20
13,369,Andreas Liland,,Guddal IL,01:25:10,03:37:34,07:13:25,+01:22:04
14,31,John Bjørlo,,Aker Solutions,01:24:25,03:28:51,07:14:40,+01:23:19
15,13,Simon Bjørheim,,Spirit Friidrettsklubb,01:30:18,03:43:15,07:16:26,+01:25:05
16,332,Leif Henry Waldeland,,,01:25:10,03:37:32,07:16:28,+01:25:07
17,367,Tonje Wathne,,Dale Fjelløpere,01:29:30,03:52:10,07:18:30,+01:27:09
18,398,Arne Andre Vetrhus,,Spirit,01:30:15,03:46:12,07:23:07,+01:31:46
19,235,Jesper Hana,,Sub 8,01:40:05,03:57:08,07:23:36,+01:32:15
20,413,Martin Haug Tieghem,,Suldal IL,01:24:35,03:37:41,07:24:54,+01:33:33
21,8,Tommy Eika,,,01:30:11,03:43:44,07:25:46,+01:34:25
22,217,Thomas Egeland,,,01:31:50,03:57:12,07:27:37,+01:36:16
23,243,Gijs Groote,,,01:29:28,03:52:20,07:28:35,+01:37:14
24,42,Fredrik Omdal,,Stangeland Maskin,01:28:20,03:43:39,07:29:05,+01:37:44
25,327,Tor Olav Svaland,,,01:24:25,03:35:01,07:29:24,+01:38:03
26,96,Mette Wathne,,,01:30:11,03:52:16,07:31:57,+01:40:36
27,258,Knut Vidar Magnussen,,,01:30:57,03:52:14,07:33:37,+01:42:16
28,128,Mads Klungtveit,,Løpeklubben Grejj,01:33:16,04:04:20,07:34:44,+01:43:23
29,488,Andreas Kindem,,MP RUNNERS,01:36:02,03:57:07,07:36:47,+01:45:26
30,359,Vetle Dommersnes Pedersen,,,01:24:25,03:34:56,07:36:54,+01:45:33
